iab_id,company_id,first_added,last_modified,gid
338,181343,2018-06-14,2018-06-14,2701
418,260079,2018-06-14,2018-06-14,4006
24,288965,2018-06-14,2018-06-14,2366
234,156543,2018-06-14,2018-06-14,1568
35,203205,2018-06-14,2018-06-14,1887
38,288977,2018-06-14,2018-06-14,3630
164,169676,2018-06-14,2018-06-14,1936
60,288943,2018-06-14,2018-06-14,2647
42,252278,2018-06-14,2018-06-14,2059
385,759,2018-06-14,2018-06-14,2723
59,288902,2018-06-14,2018-06-14,4020
75,288899,2018-06-14,2018-06-14,3985
272,259763,2018-06-14,2018-06-14,2216
215,288967,2018-06-14,2018-06-14,3948
227,270118,2018-06-14,2018-06-14,4004
249,288909,2018-06-14,2018-06-14,4023
343,288924,2018-06-14,2018-06-14,3566
362,288918,2018-06-14,2018-06-14,3996
400,288976,2018-06-14,2018-06-14,4043
235,290326,2018-06-14,2019-05-14,2013
373,1147,2018-06-14,2018-06-14,2440
203,175266,2018-06-14,2018-06-14,4055
261,177392,2018-06-14,2018-06-14,2256
211,206057,2018-06-14,2018-06-14,2300
173,203979,2018-06-14,2018-06-14,2384
328,209089,2018-06-14,2018-06-14,2456
294,184321,2018-06-14,2018-06-14,2573
413,172202,2018-06-14,2018-06-14,2869
402,184025,2018-06-14,2018-06-14,3118
93,208931,2018-06-14,2018-06-14,3402
114,263332,2018-06-14,2018-06-14,3859
323,186912,2018-06-14,2018-06-14,3920
40,174209,2018-06-14,2018-06-14,3940
264,104603,2018-06-14,2018-06-14,1857
113,288991,2018-06-14,2018-06-14,2541
144,288983,2018-06-14,2018-06-14,3588
153,288901,2018-06-14,2018-06-14,3988
139,283488,2018-06-14,2018-06-14,4005
199,288957,2018-06-14,2018-06-14,3946
191,288949,2018-06-14,2018-06-14,3713
304,192924,2018-06-14,2018-06-14,2631
326,288954,2018-06-14,2018-06-14,3945
314,290292,2018-06-14,2019-05-06,3979
436,290295,2018-06-14,2019-05-06,3977
275,290419,2018-06-14,2019-05-30,4053
120,184262,2018-06-14,2019-05-07,1691
148,176383,2018-06-14,2019-05-30,2589
189,290335,2018-06-14,2019-05-14,3976
252,136794,2018-06-14,2018-12-19,3978
330,290286,2018-06-14,2019-05-06,3983
2,288933,2018-06-14,2019-05-07,3957
109,202451,2018-06-14,2019-02-07,2640
22,290051,2018-06-14,2018-12-14,3676
97,147900,2018-06-14,2019-02-07,2743
145,288908,2018-06-14,2019-02-07,3230
421,290280,2018-06-14,2019-05-06,3982
341,198102,2018-06-14,2019-02-08,2051
98,257550,2018-06-14,2019-05-06,2035
279,290287,2018-06-14,2019-05-06,3993
102,274020,2018-06-14,2019-05-14,3381
318,290325,2018-06-14,2019-05-14,3939
218,290334,2018-06-14,2019-05-14,2087
122,285257,2018-06-14,2019-05-30,3952
274,290420,2018-06-14,2019-05-30,3971
13,186132,2018-06-14,2020-06-05,1670
